Gin Basil Smash,1,2,2,1,3,1,4,0,4,0,4,0,2 shots of Gin 1 shot of lemon juice and 1 oz of simple syrup. Garnish with Basil Leaves
Naked & Famous,5,1,6,1,7,1,8,1,4,0,4,0,1 shot of Mezcal 1 shot of Aperol 1 shot of Yellow Chartreuse and 1 shot of Lime Juice
Espresso Martini,9,2,10,1,11,1,4,0,4,0,4,0,2 Shots of Vodka 1 shot of coffe and 1 shot of Kahlua. Garnish with a half pinch of salt
Picante de la Casa,12,2,13,1,8,1,4,0,4,0,4,0,2 shots of Tequilla 1 shot of Agave syrup and 1 shot of Lime juice. Garnish with a slice of jalapeno and 2 sprigs of coriander
Mai Thai,14,2,15,1,8,1,16,1,3,1,4,0,"2 shot of Rum 1 shot of Orange Curacao 1 shot of Lime Juic, and 0.3 shot of Orgeat syrup"
Gin and Tonic,1,2,17,8,4,0,4,0,4,0,4,0,2 Shots of Gin and 8 shots of tonic. Garnish with a slice of citrus fruit
Aperol Spritz,18,3,6,2,19,1,4,0,4,0,4,0,3 shots of Prosecco 2 shots of Aperol and 1 shot of Soda. Garnish with an orange slice
Margarita,12,2,20,2,21,1,4,0,4,0,4,0,2 shot of Tequila 2 shot of Lime juice 1 shot of Cointreau. Salt the rim and garnish with a lime.
Sherry and Vermouth,22,2,23,2,4,0,4,0,4,0,4,0,2 Shots of Sherry 2 shots of Vermouth. Garnish with a lemon and orange twist
The Ultimate Paloma,12,2,20,1,24,6,4,0,4,0,4,0,2 shot of Tequila 1 shot of Lime juice 6 shot of Grapefruit soda. Garnish with a lime wedge
Martini,1,2,23,1,4,0,4,0,4,0,4,0,2 Shots and Gin 1 shot of Vermouth. Garnish with 2 olives and a lemon twist
Negroni,1,1,23,1,25,1,4,0,4,0,4,0,1 shot of Gin 1 shot of Vermouth 1 shot of Campari. Garnish with an orange twist
Old Fashioned,26,2,3,1,27,1,4,0,4,0,4,0,2 Shots of Whisky 1 shots of simple syrup and 1 shots of bitters. Garnish with orange zest
Manhattan,26,2,23,2,27,1,4,0,4,0,4,0,2 Shots of Whisky 2 shots of Vermouth 1 shots of Bitters. Garnish with orange peel and maraschino cherry
Boulevardier,26,1,25,1,23,1,4,0,4,0,4,0,1 shot of Whisky 1 shot of Campari 1 shot of Vermouth. Garnish with an orange twist
Spanish Penny,26,2,28,1,29,1,4,0,4,0,4,0,2 Shots of Whisky 1 shots of maple syrup 1 shots of sherry vinegar
Applejack Sour,30,2,31,1,32,1,4,0,4,0,4,0,2 shots of applejack 1 shot of lemon juice 1 shots of grenadine. Garnish with a lemon peel
Oaxaca Old Fashioned,12,2,5,1,4,0,4,0,4,0,4,0,2 Shots Tequila 1 shots of Mezcal. Garnish with a teaspoon of agave nectar 1 dash of bitters and an orange peel
Daiquiri,14,2,8,1,3,1,4,0,4,0,4,0,2 shot of Rum 1 shot of Lime Juice 1 shot of simple syrup
Little Italy,26,2,23,1,33,0.5,4,0,4,0,4,0,2 shot of Whisky 1 shot of Vermouth 0.5 shot of Amaro
Remember the Alimony,1,1,22,2,34,2,4,0,4,0,4,0,1 shot of Gin 2 shot of Sherry 2 shot of Cynar. Garnish with an orange twist
Paper Plane,26,1,33,1,6,1,35,1,4,0,4,0,"1 shot of Whisky 1 shot of Amaro 1 shot of Aperol, and 1 shot of Lemon juice"
Americano-Americano,23,2,25,2,36,2,4,0,4,0,4,0,2 Shots of Vermouth 2 shot Campari and 2 shots of soda. Garnish with lemon or orange twist
Perfect Circle,22,2,25,2,37,4,4,0,4,0,4,0,2 shot of Sherry 2 shot of Campari 4 shot of Sparkling Wine
Moscow Mule,9,2,8,1,4,0,4,0,4,0,4,0,2 Shots and Vodka 1 shot and Lime Juice. Add a ginger beer and garnish with mint
Dark N Stormy,14,2,8,1,4,0,4,0,4,0,4,0,2 Shots and Rum 1 shot and Lime Juice. Add a ginger beer and garnish with mint
Bees Knees,1,2,2,1,38,1,4,0,4,0,4,0,2 Shots of Gine 1 shot of Lemon Juice 1 shots of Honey. Garnish with a lemon twist
Dubonnet,1,2,39,1,4,0,4,0,4,0,4,0,2 shot of Gin 1 shot of Dubonnet
Gimlet,1,2,8,1,3,1,4,0,4,0,4,0,2 shot of Gin 1 shot of Lime Juice 1 shot of simple syrup
The Stay Up Late,1,2,40,0.5,8,1,3,1,4,0,4,0,2 shot of Gin 0.5 shot of Cognac 1 shot of Lime Juice and 1 shot of Simple Syrup
Debutante,1,2,8,1,32,0.5,4,0,4,0,4,0,2 shot of Gin 1 shot of Lime Juice 0.5 shot of Grenadine
Sex on the beach,9,2,41,1,42,2,43,2,4,0,4,0,2 shot of Vodka 1 shot of Peach Schnapps 2 shot of Pineapple Juice and 2 shot of Cranberry Juice
Cosmopolitan,9,2,21,1,8,1,43,2,4,0,4,0,2 shot of Vodka 1 shot of Cointreau 1 shot of Lime juice and 2 shot of Cranberry Juice
Seabreeze,9,2,22,2,44,1,4,0,4,0,4,0,2 shot of Vodka 2 shot of Sherry 1 shot of Grapefruit juice
