Gin Basil Smash,Gin,2,Lemon Juice,1,simple syrup,0.5,N/A,0,N/A,0,N/A,0,"2 shots of Gin, 1 shot of lemon juice, and 0.5 oz of simple syrup. Garnish with Basil Leaves"
Naked & Famous,Mezcal,1,Aperol,1,Yellow Chartreuse,1,Lime Juice,1,N/A,0,N/A,0,"1 shot of Mezcal, 1 shot of Aperol, 1 shot of Yellow Chartreuse, and 1 shot of Lime Juice"
Espresso Martini,Vodka,2,cofee,1,Kahlua,1,N/A,0,N/A,0,N/A,0,"2 Shots of Vodka, 1 shot of coffe, and 1 shot of Kahlua. Garnish with a half pinch of salt"
Picante de la Casa,Tequila,2,Agave syrup,1,Lime Juice,1,N/A,0,N/A,0,N/A,0,"2 shots of Tequilla, 1 shot of Agave syrup, and 1 shot of Lime juice. Garnish with a slice of jalapeno and 2 sprigs of coriander"
Mai Thai,Rum,2,Orange Curacao,0.5,Lime Juice,1,Orgeat syrup,0.3,simple syrup,0.3,N/A,0,"2 shot of Rum, 0.5 shot of Orange Curacao, 1 shot of Lime Juice, and 0.3 shot of Orgeat syrup"
Gin and Tonic,Gin,2,Tonic,8,N/A,0,N/A,0,N/A,0,N/A,0,"2 Shots of Gin, and 8 shots of tonic. Garnish with a slice of citrus fruit"
Aperol Spritz,Prosecco,3,Aperol,2,Soda,1,N/A,0,N/A,0,N/A,0,"3 shots of Prosecco, 2 shots of Aperol, and 1 shot of Soda. Garnish with an orange slice"
Margarita,Tequila,2,Lime juice,1.5,Cointreau,1,N/A,0,N/A,0,N/A,0,"2 shot of Tequila, 1.5 shot of Lime juice, 1 shot of Cointreau. Salt the rim and garnish with a lime."
Sherry and Vermouth,Sherry,2,Vermouth,2,N/A,0,N/A,0,N/A,0,N/A,0,"2 Shots of Sherry, 2 shots of Vermouth. Garnish with a lemon and orange twist"
The Ultimate Paloma,Tequila,1.5,Lime juice,0.5,Grapefruit soda,6,N/A,0,N/A,0,N/A,0,"1.5 shot of Tequila, 0.5 shot of Lime juice, 6 shot of Grapefruit soda. Garnish with a lime wedge"
Martini,Gin,2,Vermouth,1,N/A,0,N/A,0,N/A,0,N/A,0,"2 Shots and Gin, 1 shot of Vermouth. Garnish with 2 olives and a lemon twist"
Negroni,Gin,1,Vermouth,1,Campari,1,N/A,0,N/A,0,N/A,0,"1 shot of Gin, 1 shot of Vermouth, 1 shot of Campari. Garnish with an orange twist"
Old Fashioned,Whisky,2,simple syrup,0.5,Bitters,0.5,N/A,0,N/A,0,N/A,0,"2 Shots of Whisky, 0.5 shots of simple syrup and 0.5 shots of bitters. Garnish with orange zest"
Manhattan,Whisky,2,Vermouth,2,Bitters,0.5,N/A,0,N/A,0,N/A,0,"2 Shots of Whisky, 2 shots of Vermouth, 0.5 shots of Bitters. Garnish with orange peel and maraschino cherry"
Boulevardier,Whisky,1,Campari,1,Vermouth,1,N/A,0,N/A,0,N/A,0,"1 shot of Whisky, 1 shot of Campari, 1 shot of Vermouth. Garnish with an orange twist"
Spanish Penny,Whisky,2,Maple Syrup,0.5,sherry vinegar,0.25,N/A,0,N/A,0,N/A,0,"2 Shots of Whisky, 0.5 shots of maple syrup, 0.3 shots of sherry vinegar"
Applejack Sour,Applejack,2,lemon juice,1,Grenadine,0.5,N/A,0,N/A,0,N/A,0,"2 shots of applejack, 1 shot of lemon juice, 0.5 shots of grenadine. Garnish with a lemon peel"
Oaxaca Old Fashioned,Tequila,2,Mezcal,0.5,N/A,0,N/A,0,N/A,0,N/A,0,"2 Shots Tequila,  0.5 shots of Mezcal. Garnish with a teaspoon of agave nectar, 1 dash of bitters and an orange peel"
Daiquiri,Rum,2,Lime Juice,1,simple syrup,0.5,N/A,0,N/A,0,N/A,0,"2 shot of Rum, 1 shot of Lime Juice, 0.5 shot of simple syrup"
Little Italy,Whisky,2,Vermouth,1,Amaro,0.5,N/A,0,N/A,0,N/A,0,"2 shot of Whisky, 1 shot of Vermouth, 0.5 shot of Amaro"
Remember the Alimony,Gin,1,Sherry,1.5,Cynar,1.5,N/A,0,N/A,0,N/A,0,"1 shot of Gin, 1.5 shot of Sherry, 1.5 shot of Cynar. Garnish with an orange twist"
Paper Plane,Whisky,1,Amaro,1,Aperol,1,Lemon juice,1,N/A,0,N/A,0,"1 shot of Whisky, 1 shot of Amaro, 1 shot of Aperol, and 1 shot of Lemon juice"
